player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,13600,5.7,0.0,1,1,2025-11-07T12:00:00+00:00
Shai Gilgeous-Alexander,OKC,11800,4.3,0.0,1,2,2025-11-07T12:00:00+00:00
Giannis Antetokounmpo,MIL,11500,6.9,0.0,1,3,2025-11-07T12:00:00+00:00
Victor Wembanyama,SAS,8500,2.9,0.1,2,4,2025-11-07T12:00:00+00:00
Josh Giddey,CHI,6200,3.6,0.2,2,5,2025-11-07T12:00:00+00:00
Cade Cunningham,DET,5300,5.3,0.4,3,6,2025-11-07T12:00:00+00:00
Donovan Mitchell,CLE,4300,4.4,0.1,5,7,2025-11-07T12:00:00+00:00
Jaylen Brown,BOS,3200,4.1,0.4,3,8,2025-11-07T12:00:00+00:00
Paolo Banchero,ORL,2800,2.8,0.5,3,9,2025-11-07T12:00:00+00:00
Russell Westbrook,SAC,2800,3.7,0.8,5,10,2025-11-07T12:00:00+00:00
Darius Garland,CLE,2800,4.3,3.0,5,11,2025-11-07T12:00:00+00:00
Alperen Sengun,HOU,2600,4.1,0.3,4,12,2025-11-07T12:00:00+00:00
Kel'el Ware,MIA,2300,1.9,2.0,3,13,2025-11-07T12:00:00+00:00
Anthony Edwards,MIN,2300,5.3,0.9,1,14,2025-11-07T12:00:00+00:00
Scottie Barnes,TOR,2100,3.2,0.4,3,15,2025-11-07T12:00:00+00:00
Lauri Markkanen,UTA,2000,1.7,0.3,4,16,2025-11-07T12:00:00+00:00
Jonathan Kuminga,GSW,1900,1.4,1.2,5,17,2025-11-07T12:00:00+00:00
