player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shai Gilgeous-Alexander,OKC,12300,5.4,0.0,1,1,2025-12-19T00:00:00+00:00
Jalen Johnson,ATL,7600,2.2,0.2,2,2,2025-12-19T00:00:00+00:00
Tyrese Maxey,PHI,6000,4.8,0.0,2,3,2025-12-19T00:00:00+00:00
Jalen Brunson,NYK,5900,4.3,0.2,2,4,2025-12-19T00:00:00+00:00
Jaylen Brown,BOS,5700,3.7,0.2,2,5,2025-12-19T00:00:00+00:00
Josh Giddey,CHI,4400,3.5,0.4,3,6,2025-12-19T00:00:00+00:00
Anthony Edwards,MIN,4000,4.4,0.3,2,7,2025-12-19T00:00:00+00:00
Chet Holmgren,OKC,3800,2.1,0.7,3,8,2025-12-19T00:00:00+00:00
Victor Wembanyama,SA,3600,5.1,0.2,5,9,2025-12-19T00:00:00+00:00
Julius Randle,MIN,2800,2.8,0.4,3,10,2025-12-19T00:00:00+00:00
Nickeil Alexander-Walker,ATL,2300,2.1,0.9,3,11,2025-12-19T00:00:00+00:00
Rudy Gobert,MIN,2100,2.1,1.1,5,12,2025-12-19T00:00:00+00:00
Darius Garland,CLE,2000,4.8,1.2,2,13,2025-12-19T00:00:00+00:00
Derrick White,BOS,2000,6.3,0.7,4,14,2025-12-19T00:00:00+00:00
Donte DiVincenzo,MIN,1800,1.9,1.2,2,15,2025-12-19T00:00:00+00:00
Dyson Daniels,ATL,1800,1.6,1.1,5,16,2025-12-19T00:00:00+00:00
Payton Pritchard,BOS,1600,2.4,0.8,3,17,2025-12-19T00:00:00+00:00
