player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,12100,0.8,0.0,1,1,2025-12-20T00:00:00+00:00
Nikola Jokic,DEN,8800,2.9,0.0,1,2,2025-12-20T00:00:00+00:00
Cade Cunningham,DET,5800,4.6,0.2,2,3,2025-12-20T00:00:00+00:00
Stephen Curry,GSW,5200,4.3,0.1,1,4,2025-12-20T00:00:00+00:00
Tyrese Maxey,PHI,5000,5.5,0.0,3,5,2025-12-20T00:00:00+00:00
Cooper Flagg,DAL,4700,2.9,0.9,5,6,2025-12-20T00:00:00+00:00
Keyonte George,UTA,3700,3.9,0.5,3,7,2025-12-20T00:00:00+00:00
Deni Avdija,POR,3500,3.7,0.4,2,8,2025-12-20T00:00:00+00:00
James Harden,LAC,2900,4.0,0.2,2,9,2025-12-20T00:00:00+00:00
Devin Booker,PHX,2600,5.7,0.5,3,10,2025-12-20T00:00:00+00:00
Kon Knueppel,BOS,2600,2.9,0.9,5,11,2025-12-20T00:00:00+00:00
Derrick White,BOS,2500,2.6,0.7,3,12,2025-12-20T00:00:00+00:00
Brandon Ingram,NOP,2400,4.2,0.8,4,13,2025-12-20T00:00:00+00:00
Maxime Raynaud,SAC,2200,2.2,2.8,5,14,2025-12-20T00:00:00+00:00
