player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Giannis Antetokounmpo,MIL,7900,6.2,0.0,1,1,2026-01-11T23:59:00Z
Shai Gilgeous-Alexander,OKC,7300,4.4,0.0,1,2,2026-01-11T23:59:00Z
Kevin Durant,PHX,6300,3.1,0.5,2,3,2026-01-11T23:59:00Z
Stephen Curry,GSW,6000,3.6,0.2,1,4,2026-01-11T23:59:00Z
Jalen Johnson,ATL,5900,5.4,0.2,2,5,2026-01-11T23:59:00Z
Tyrese Maxey,PHI,5600,4.6,0.0,1,6,2026-01-11T23:59:00Z
Anthony Edwards,MIN,4500,3.1,0.3,2,7,2026-01-11T23:59:00Z
Deni Avdija,POR,4100,3.2,0.4,2,8,2026-01-11T23:59:00Z
Devin Booker,PHX,4000,3.0,0.5,3,9,2026-01-11T23:59:00Z
Jalen Brunson,NYK,4000,4.3,0.3,2,10,2026-01-11T23:59:00Z
Peyton Watson,DEN,3400,3.4,1.6,4,11,2026-01-11T23:59:00Z
Amen Thompson,HOU,3100,4.9,0.6,3,12,2026-01-11T23:59:00Z
Trey Murphy III,NOP,2700,3.2,0.6,1,13,2026-01-11T23:59:00Z
Karl-Anthony Towns,NYK,2300,3.9,0.6,4,14,2026-01-11T23:59:00Z
