player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cooper Flagg,NOP,10700,5.6,0.8,2,1,2026-01-08T23:59:00Z
Donovan Mitchell,CLE,9000,3.7,0.2,1,2,2026-01-08T23:59:00Z
Anthony Edwards,MIN,8600,4.8,0.3,1,3,2026-01-08T23:59:00Z
Kon Knueppel,NOP,7000,3.4,0.9,2,4,2026-01-08T23:59:00Z
Keyonte George,UTA,6200,3.9,0.5,2,5,2026-01-08T23:59:00Z
Lauri Markkanen,UTA,5400,4.7,0.4,3,6,2026-01-08T23:59:00Z
LaMelo Ball,CHA,4400,6.8,0.6,3,7,2026-01-08T23:59:00Z
Pascal Siakam,IND,3800,3.9,0.5,3,8,2026-01-08T23:59:00Z
Anthony Davis,LAL,3100,3.6,0.5,1,9,2026-01-08T23:59:00Z
Julius Randle,MIN,2800,4.8,0.5,3,10,2026-01-08T23:59:00Z
Max Christie,LAL,2700,2.5,2.1,4,11,2026-01-08T23:59:00Z
Evan Mobley,CLE,2600,2.9,0.6,2,12,2026-01-08T23:59:00Z
Naz Reid,MIN,2400,1.7,1.2,5,13,2026-01-08T23:59:00Z
Jay Huff,CLE,2300,1.9,2.2,5,14,2026-01-08T23:59:00Z
