player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Tyrese Maxey,PHI,11100,9.4,0.0,1,1,2025-11-20T00:00:00+00:00
James Harden,LAC,9000,4.3,0.2,2,2,2025-11-20T00:00:00+00:00
Jalen Johnson,ATL,8900,4.2,0.3,2,3,2025-11-20T00:00:00+00:00
Franz Wagner,ORL,6900,2.7,0.6,3,4,2025-11-20T00:00:00+00:00
VJ Edgecombe,PHI,6100,2.5,1.0,2,5,2025-11-20T00:00:00+00:00
Russell Westbrook,SAC,6000,1.4,1.1,3,6,2025-11-20T00:00:00+00:00
Ryan Rollins,MIL,4800,5.5,0.8,3,7,2025-11-20T00:00:00+00:00
Desmond Bane,ORL,4200,3.1,1.2,4,8,2025-11-20T00:00:00+00:00
DeMar DeRozan,SAC,3700,1.2,0.9,3,9,2025-11-20T00:00:00+00:00
Ivica Zubac,LAC,3600,2.7,0.8,4,10,2025-11-20T00:00:00+00:00
Dyson Daniels,ATL,3500,1.9,1.2,4,11,2025-11-20T00:00:00+00:00
Cedric Coward,MEM,3500,2.6,1.3,5,12,2025-11-20T00:00:00+00:00
Myles Turner,MIL,3400,2.3,1.2,5,13,2025-11-20T00:00:00+00:00
Onyeka Okongwu,ATL,3000,2.8,1.0,2,14,2025-11-20T00:00:00+00:00
