player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Ace Bailey,UTA,187,5.9,2.1,,1,2026-03-18T05:03:38.819148+00:00
Precious Achiuwa,SAC,231,5.4,2.3,,2,2026-03-18T05:03:38.819148+00:00
Reed Sheppard,HOU,693,5.9,1.5,,3,2026-03-18T05:03:38.819148+00:00
Kyle Filipowski,UTA,68,4.8,2.1,,4,2026-03-18T05:03:38.819148+00:00
Tristan da Silva,ORL,3,4,2.8,,5,2026-03-18T05:03:38.819148+00:00
Julian Reese,WAS,8,3.7,3.0,,6,2026-03-18T05:03:38.819148+00:00
Collin Sexton,CHI,23,4.6,2.0,,7,2026-03-18T05:03:38.819148+00:00
Kel'el Ware,MIA,111,5.3,1.4,,8,2026-03-18T05:03:38.819148+00:00
Isaiah Collier,UTA,144,4.8,1.5,,9,2026-03-18T05:03:38.819148+00:00
Victor Wembanyama,SAS,1400,7.1,0.3,,10,2026-03-18T05:03:38.819148+00:00
Klay Thompson,DAL,2,3.5,2.6,,11,2026-03-18T05:03:38.819148+00:00
Cody Williams,UTA,1,3.3,3.0,,12,2026-03-18T05:03:38.819148+00:00
Rudy Gobert,MIN,50,5,1.1,,13,2026-03-18T05:03:38.819148+00:00
