player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jordan Clarkson,NY,5,3.9,3.0,,1,2026-03-18T05:03:38.820875+00:00
Keon Ellis,CLE,18,3.8,3.0,,2,2026-03-18T05:03:38.820875+00:00
Kawhi Leonard,LAC,1100,8.6,0.2,,3,2026-03-18T05:03:38.820875+00:00
Nique Clifford,SAC,60,3.7,3.0,,4,2026-03-18T05:03:38.820875+00:00
DeMar DeRozan,SAC,111,6,1.0,,5,2026-03-18T05:03:38.820875+00:00
Brice Sensabaugh,UTAH,33,4.2,2.3,,6,2026-03-18T05:03:38.820875+00:00
Desmond Bane,ORL,374,6.5,0.7,,7,2026-03-18T05:03:38.820875+00:00
Tristan da Silva,ORL,23,3.5,2.6,,8,2026-03-18T05:03:38.820875+00:00
Cameron Johnson,DEN,4,3.9,2.1,,9,2026-03-18T05:03:38.820875+00:00
Jordan Miller,LAC,13,3.3,2.6,,10,2026-03-18T05:03:38.820875+00:00
Christian Braun,DEN,4,3.7,1.8,,11,2026-03-18T05:03:38.820875+00:00
Miles Bridges,CHA,68,4.7,1.0,,12,2026-03-18T05:03:38.820875+00:00
Dejounte Murray,NO,45,4.2,1.3,,13,2026-03-18T05:03:38.820875+00:00
