player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jaylin Williams,OKC,37,5.2,2.6,,1,2026-03-18T05:03:38.820306+00:00
Shai Gilgeous-Alexander,OKC,2900,9.5,,,2,2026-03-18T05:03:38.820306+00:00
Karl-Anthony Towns,NYK,666,6.7,0.6,,3,2026-03-18T05:03:38.820306+00:00
Nolan Traoré,BKN,25,3.3,3.0,,4,2026-03-18T05:03:38.820306+00:00
Tim Hardaway Jr.,DEN,46,4.2,1.9,,5,2026-03-18T05:03:38.820306+00:00
Ochai Agbaji,BKN,3,3.8,3.0,,6,2026-03-18T05:03:38.820306+00:00
Gui Santos,GSW,326,3.3,2.7,,7,2026-03-18T05:03:38.820306+00:00
Kyle Filipowski,UTA,642,3.9,2.0,,8,2026-03-18T05:03:38.820306+00:00
Dean Wade,CLE,1,3,3.0,,9,2026-03-18T05:03:38.820306+00:00
Nikola Jokić,DEN,5300,7.3,,,10,2026-03-18T05:03:38.820306+00:00
Brook Lopez,LAC,35,2.9,3.0,,11,2026-03-18T05:03:38.820306+00:00
Derrick Jones Jr.,LAC,29,3.6,2.0,,12,2026-03-18T05:03:38.820306+00:00
Ajay Mitchell,OKC,27,4.3,1.3,,13,2026-03-18T05:03:38.820306+00:00
