player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cooper Flagg,DAL,8900,2.5,0.8,3,1,2026-01-01T00:00:00+00:00
Tyrese Maxey,PHI,8700,6.2,0.0,1,2,2026-01-01T00:00:00+00:00
Kawhi Leonard,LAC,8300,6.9,0.2,1,3,2026-01-01T00:00:00+00:00
Cade Cunningham,DET,8200,4.7,0.2,2,4,2026-01-01T00:00:00+00:00
Jaylen Brown,BOS,7800,3.4,0.3,2,5,2026-01-01T00:00:00+00:00
Kevin Durant,PHX,6100,3.4,0.5,3,6,2026-01-01T00:00:00+00:00
James Harden,LAC,4900,3.2,0.3,2,7,2026-01-01T00:00:00+00:00
Russell Westbrook,DEN,3500,1.8,1.0,2,8,2026-01-01T00:00:00+00:00
Kyle Filipowski,UTA,3300,0.5,2.2,1,9,2026-01-01T00:00:00+00:00
Derrick White,BOS,3000,3.9,0.7,4,10,2026-01-01T00:00:00+00:00
VJ Edgecombe,PHI,2800,4.5,0.9,5,11,2026-01-01T00:00:00+00:00
Kel'el Ware,MIA,2600,1.9,1.1,3,12,2026-01-01T00:00:00+00:00
Jalen Duren,DET,2500,1.5,0.7,4,13,2026-01-01T00:00:00+00:00
Amen Thompson,HOU,2400,4.9,0.7,3,14,2026-01-01T00:00:00+00:00
