player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,16600,8.4,0,1,1,2025-12-11T00:00:00+00:00
Jaylen Brown,BOS,7900,4.2,0.3,2,2,2025-12-11T00:00:00+00:00
Derik Queen,NOP,7600,3.6,1.4,2,3,2025-12-11T00:00:00+00:00
Kevin Durant,PHX,7300,1.4,0.6,2,4,2025-12-11T00:00:00+00:00
Russell Westbrook,SAC,6900,1.9,1.0,3,5,2025-12-11T00:00:00+00:00
James Harden,LAC,6800,3.7,0.2,2,6,2025-12-11T00:00:00+00:00
Jamal Murray,DEN,6100,3.4,0.2,2,7,2025-12-11T00:00:00+00:00
Deni Avdija,POR,5900,2.9,0.4,3,8,2025-12-11T00:00:00+00:00
Alperen Sengun,HOU,4500,4.1,0.3,2,9,2025-12-11T00:00:00+00:00
Amen Thompson,HOU,3200,4.4,0.8,3,10,2025-12-11T00:00:00+00:00
DeMar DeRozan,SAC,2800,1.8,1.0,4,11,2025-12-11T00:00:00+00:00
Derrick White,BOS,2700,1.2,0.7,4,12,2025-12-11T00:00:00+00:00
Ryan Rollins,BOS,2500,2.2,0.8,4,13,2025-12-11T00:00:00+00:00
Trey Murphy III,NOP,2500,4.5,0.7,3,14,2025-12-11T00:00:00+00:00
Maxime Raynaud,SAC,2500,2.3,3.0,5,15,2025-12-11T00:00:00+00:00
Bobby Portis,BOS,2100,5.8,2.1,4,16,2025-12-11T00:00:00+00:00
Payton Pritchard,BOS,2000,2.8,0.8,4,17,2025-12-11T00:00:00+00:00
