player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shai Gilgeous-Alexander,OKC,14800,5.7,0.0,1,1,2025-12-02T00:00:00+00:00
Anthony Edwards,MIN,10000,5.7,0.3,2,2,2025-12-02T00:00:00+00:00
Tyrese Maxey,PHI,8800,6.1,0.0,1,3,2025-12-02T00:00:00+00:00
Jaylen Brown,BOS,6300,5.4,0.3,3,4,2025-12-02T00:00:00+00:00
Jalen Brunson,NYK,6100,3.8,0.3,3,5,2025-12-02T00:00:00+00:00
Deni Avdija,POR,5900,4.2,0.4,3,6,2025-12-02T00:00:00+00:00
Karl-Anthony Towns,NYK,4600,3.7,0.5,3,7,2025-12-02T00:00:00+00:00
Brandon Ingram,TOR,4000,2.4,0.8,3,8,2025-12-02T00:00:00+00:00
Chet Holmgren,OKC,3800,3.2,0.8,3,9,2025-12-02T00:00:00+00:00
Scottie Barnes,TOR,3800,4.3,0.4,3,10,2025-12-02T00:00:00+00:00
Payton Pritchard,BOS,2900,1.6,0.8,4,11,2025-12-02T00:00:00+00:00
Josh Hart,NYK,2800,3.7,1.1,3,12,2025-12-02T00:00:00+00:00
CJ McCollum,NOP,2800,1.5,0.9,5,13,2025-12-02T00:00:00+00:00
Julius Randle,MIN,2400,2.7,0.4,3,14,2025-12-02T00:00:00+00:00
