player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,9400,7.5,,1,1,2026-03-26T18:00:00+00:00
Luka Doncic,LAL,9300,5.7,,1,2,2026-03-26T18:00:00+00:00
Victor Wembanyama,SAS,8000,5.5,0.2,2,3,2026-03-26T18:00:00+00:00
Shai Gilgeous-Alexander,OKC,7100,6.1,,1,4,2026-03-26T18:00:00+00:00
Ace Bailey,UTA,5500,2.4,1.8,1,5,2026-03-26T18:00:00+00:00
Kevin Durant,HOU,4300,3.7,0.5,3,6,2026-03-26T18:00:00+00:00
Daniss Jenkins,DET,4000,2.9,2.5,2,7,2026-03-26T18:00:00+00:00
Jaylen Brown,BOS,3800,4.5,0.3,,8,2026-03-26T18:00:00+00:00
Cooper Flagg,DAL,3000,4.8,0.7,4,9,2026-03-26T18:00:00+00:00
Donovan Mitchell,CLE,2900,3.3,0.2,5,10,2026-03-26T18:00:00+00:00
Scottie Barnes,TOR,2600,3.1,0.5,3,11,2026-03-26T18:00:00+00:00
James Harden,CLE,2600,2.6,0.3,2,12,2026-03-26T18:00:00+00:00
Jamal Murray,DEN,2200,9.3,0.2,2,13,2026-03-26T18:00:00+00:00
Julius Randle,MIN,2200,3.5,0.6,4,14,2026-03-26T18:00:00+00:00
