player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,DAL,10000,5.4,0.0,1,1,2026-01-15T23:59:00Z
Shai Gilgeous-Alexander,OKC,7600,2.7,0.0,1,2,2026-01-15T23:59:00Z
Cade Cunningham,DET,5500,2.2,0.2,2,3,2026-01-15T23:59:00Z
Stephen Curry,GSW,5300,4.7,0.2,1,4,2026-01-15T23:59:00Z
Jalen Johnson,ATL,5100,2.2,0.2,2,5,2026-01-15T23:59:00Z
Jaylen Brown,BOS,5000,2.2,0.3,2,6,2026-01-15T23:59:00Z
Giannis Antetokounmpo,MIL,4700,3.2,0.0,1,7,2026-01-15T23:59:00Z
Kevin Durant,PHX,4500,2.6,0.5,3,8,2026-01-15T23:59:00Z
Keyonte George,UTA,3800,1.6,0.5,3,9,2026-01-15T23:59:00Z
Karl-Anthony Towns,NYK,3400,3.9,0.6,4,10,2026-01-15T23:59:00Z
Kon Knueppel,NOP,3100,3.4,0.9,5,11,2026-01-15T23:59:00Z
Victor Wembanyama,SAS,2700,3.9,0.3,5,12,2026-01-15T23:59:00Z
Caleb Love,CLE,2600,2.1,2.6,3,13,2026-01-15T23:59:00Z
Naji Marshall,DAL,2600,4.7,1.5,3,14,2026-01-15T23:59:00Z
