player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cade Cunningham,DET,11500,5.6,0.6,1,1,2026-03-28T12:00:00.000000+00:00
Stephen Curry,GS,9700,2.2,0.2,1,2,2026-03-28T12:00:00.000000+00:00
Kevin Durant,PHX,7900,4.1,0.6,3,3,2026-03-28T12:00:00.000000+00:00
Jaylen Brown,BOS,6800,1.2,0.3,2,4,2026-03-28T12:00:00.000000+00:00
Paolo Banchero,ORL,6600,4.6,0.6,4,5,2026-03-28T12:00:00.000000+00:00
Alperen Sengun,HOU,5900,3.9,0.2,2,6,2026-03-28T12:00:00.000000+00:00
Giannis Antetokounmpo,MIL,5000,5.8,0.0,1,7,2026-03-28T12:00:00.000000+00:00
Cooper Flagg,DAL,4500,2.9,1.7,3,8,2026-03-28T12:00:00.000000+00:00
Pascal Siakam,IND,4400,4.4,0.4,3,9,2026-03-28T12:00:00.000000+00:00
Franz Wagner,ORL,3600,4.3,0.7,3,10,2026-03-28T12:00:00.000000+00:00
Jimmy Butler III,GS,3600,4.1,0.5,3,11,2026-03-28T12:00:00.000000+00:00
Julius Randle,MIN,3100,5.1,0.2,2,12,2026-03-28T12:00:00.000000+00:00
Jonathan Kuminga,ATL,2600,2.5,1.0,5,13,2026-03-28T12:00:00.000000+00:00
Ryan Rollins,MIL,2600,3.3,0.5,1,14,2026-03-28T12:00:00.000000+00:00
