player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,12600,7.1,0.0,1,1,2026-04-01T00:00:00+00:00
Kawhi Leonard,LAC,6500,2.8,0.2,2,2,2026-04-01T00:00:00+00:00
Kon Knueppel,MEM,5200,1.4,0.8,2,3,2026-04-01T00:00:00+00:00
Donovan Mitchell,CLE,4500,1.7,0.2,2,4,2026-04-01T00:00:00+00:00
Jalen Brunson,NYK,4300,2.3,0.4,2,5,2026-04-01T00:00:00+00:00
Devin Booker,PHX,4100,4.0,0.5,2,6,2026-04-01T00:00:00+00:00
Kevin Durant,PHX,4000,5.6,0.5,2,7,2026-04-01T00:00:00+00:00
LaMelo Ball,CHA,4000,2.8,0.6,2,8,2026-04-01T00:00:00+00:00
Daniss Jenkins,BOS,3900,3.3,2.3,3,9,2026-04-01T00:00:00+00:00
James Harden,LAC,3800,1.6,0.3,2,10,2026-04-01T00:00:00+00:00
Cooper Flagg,DAL,3200,2.8,0.7,4,11,2026-04-01T00:00:00+00:00
Scottie Barnes,TOR,3100,2.1,0.5,3,12,2026-04-01T00:00:00+00:00
Alperen Sengun,HOU,2800,3.5,0.4,2,13,2026-04-01T00:00:00+00:00
Deni Avdija,POR,2500,4.7,0.5,3,14,2026-04-01T00:00:00+00:00
Paolo Banchero,ORL,2500,3.0,0.6,4,15,2026-04-01T00:00:00+00:00
Karl-Anthony Towns,NYK,2400,3.0,0.6,4,16,2026-04-01T00:00:00+00:00
Gary Trent Jr.,BOS,2000,1.7,3.0,5,17,2026-04-01T00:00:00+00:00
