player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,14500,10.4,0,1,1,2025-11-12T12:00:00+00:00
Luka Doncic,LAL,14400,2.8,0,1,2,2025-11-12T12:00:00+00:00
Shai Gilgeous-Alexander,OKC,12000,5.2,0,1,3,2025-11-12T12:00:00+00:00
Victor Wembanyama,SAS,11000,5.2,0.1,1,4,2025-11-12T12:00:00+00:00
Devin Booker,PHX,4300,3.9,0.4,3,5,2025-11-12T12:00:00+00:00
Jalen Brunson,NYK,3700,3.6,0.3,5,6,2025-11-12T12:00:00+00:00
Alperen Sengun,HOU,3600,3.5,0.3,2,7,2025-11-12T12:00:00+00:00
Paolo Banchero,ORL,3400,1.2,0.6,3,8,2025-11-12T12:00:00+00:00
Austin Reaves,LAL,3100,1.1,0.1,2,9,2025-11-12T12:00:00+00:00
James Harden,CLE,2900,3.2,0.3,2,10,2025-11-12T12:00:00+00:00
Jaylen Brown,BOS,2900,3.5,0.4,5,11,2025-11-12T12:00:00+00:00
Kevin Durant,HOU,2600,3.6,0.7,5,12,2025-11-12T12:00:00+00:00
Jaime Jaquez Jr.,MIA,2300,1.9,0.7,3,13,2025-11-12T12:00:00+00:00
Alexandre Sarr,WAS,2200,3.8,0.7,3,14,2025-11-12T12:00:00+00:00
