player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,18000,9.5,0.0,1,1,2025-11-25T00:00:00+00:00
Tyrese Maxey,PHI,11800,2.3,0.0,2,2,2025-11-25T00:00:00+00:00
James Harden,CLE,11300,4.4,0.1,2,3,2025-11-25T00:00:00+00:00
Jalen Johnson,ATL,8900,1.7,0.3,2,4,2025-11-25T00:00:00+00:00
Franz Wagner,ORL,7000,3.0,0.5,3,5,2025-11-25T00:00:00+00:00
Austin Reaves,LAL,6800,6.0,0.3,2,6,2025-11-25T00:00:00+00:00
Ivica Zubac,LAC,6000,2.9,0.7,3,7,2025-11-25T00:00:00+00:00
LeBron James,LAL,4800,3.9,0.7,4,8,2025-11-25T00:00:00+00:00
Desmond Bane,MEM,4400,2.5,1.1,3,9,2025-11-25T00:00:00+00:00
Dyson Daniels,ATL,3900,2.2,1.1,3,10,2025-11-25T00:00:00+00:00
Quentin Grimes,PHI,3800,0.9,1.2,4,11,2025-11-25T00:00:00+00:00
Kawhi Leonard,LAC,3500,2.4,0.4,5,12,2025-11-25T00:00:00+00:00
Andre Drummond,PHI,3000,0.9,1.7,4,13,2025-11-25T00:00:00+00:00
Nickeil Alexander-Walker,ATL,3000,0.7,1.0,5,14,2025-11-25T00:00:00+00:00
