player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,12200,6.2,0.0,1,1,2025-12-22T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,9300,5.1,0.0,1,2,2025-12-22T00:00:00+00:00
Cade Cunningham,DET,7800,2.7,0.2,3,3,2025-12-22T00:00:00+00:00
Stephen Curry,GSW,7000,3.3,0.2,2,4,2025-12-22T00:00:00+00:00
Derik Queen,MEM,3900,3.7,1.4,2,5,2025-12-22T00:00:00+00:00
Keyonte George,UTA,3800,2.8,0.5,3,6,2025-12-22T00:00:00+00:00
Kon Knueppel,BOS,3800,2.5,0.9,4,7,2025-12-22T00:00:00+00:00
Deni Avdija,POR,3700,3.3,0.4,3,8,2025-12-22T00:00:00+00:00
Donovan Mitchell,CLE,3400,4.4,0.2,3,9,2025-12-22T00:00:00+00:00
Desmond Bane,MEM,3200,2.8,0.8,2,10,2025-12-22T00:00:00+00:00
Jaylen Brown,BOS,2800,4.2,0.3,3,11,2025-12-22T00:00:00+00:00
Cooper Flagg,DAL,2600,3.3,0.9,3,12,2025-12-22T00:00:00+00:00
Jamal Murray,DEN,2500,5.3,0.2,2,13,2025-12-22T00:00:00+00:00
Derrick White,BOS,2300,2.7,0.7,4,14,2025-12-22T00:00:00+00:00
