player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shai Gilgeous-Alexander,OKC,10100,3.6,0.0,1,1,2026-01-02T00:00:00+00:00
Luka Doncic,DAL,9900,4.6,0.0,1,2,2026-01-02T00:00:00+00:00
Jalen Johnson,ATL,6200,3.8,0.2,2,3,2026-01-02T00:00:00+00:00
Jalen Brunson,NYK,5200,2.9,0.2,2,4,2026-01-02T00:00:00+00:00
Giannis Antetokounmpo,MIL,5000,5.0,0.0,3,5,2026-01-02T00:00:00+00:00
Donovan Mitchell,CLE,4500,5.6,0.2,2,6,2026-01-02T00:00:00+00:00
Jamal Murray,DEN,4200,6.3,0.2,2,7,2026-01-02T00:00:00+00:00
Devin Booker,PHX,3600,4.0,0.5,3,8,2026-01-02T00:00:00+00:00
Deni Avdija,POR,3500,6.2,0.4,3,9,2026-01-02T00:00:00+00:00
Kon Knueppel,MIL,3200,3.7,0.9,4,10,2026-01-02T00:00:00+00:00
Desmond Bane,MEM,2200,2.7,0.8,3,11,2026-01-02T00:00:00+00:00
DaRon Holmes II,DEN,1900,1.9,3.0,4,12,2026-01-02T00:00:00+00:00
Pascal Siakam,IND,1800,3.6,0.5,3,13,2026-01-02T00:00:00+00:00
DeMar DeRozan,SAC,1800,1.6,0.9,5,14,2026-01-02T00:00:00+00:00
