player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shai Gilgeous-Alexander,OKC,17600,3.3,0.0,1,1,2025-12-13T00:00:00
Victor Wembanyama,SAS,11800,3.2,0.1,2,2,2025-12-13T00:00:00
Jalen Brunson,NYK,9700,5.6,0.3,2,3,2025-12-13T00:00:00
Stephon Castle,SAS,7800,2.3,0.7,3,4,2025-12-13T00:00:00
Chet Holmgren,OKC,7700,2.1,0.7,3,5,2025-12-13T00:00:00
Karl-Anthony Towns,NYK,6000,5.1,0.5,3,6,2025-12-13T00:00:00
Desmond Bane,MEM,5700,3.1,0.9,4,7,2025-12-13T00:00:00
De'Aaron Fox,SAS,5300,3.6,0.4,3,8,2025-12-13T00:00:00
Josh Hart,NYK,4400,2.8,1.0,4,9,2025-12-13T00:00:00
Paolo Banchero,ORL,3900,2.8,0.9,5,10,2025-12-13T00:00:00
Jalen Williams,OKC,3600,2.9,0.7,4,11,2025-12-13T00:00:00
Anthony Black,ORL,3400,2.1,1.7,5,12,2025-12-13T00:00:00
Julian Champagnie,SAS,2600,1.2,2.0,5,13,2025-12-13T00:00:00
Jalen Suggs,ORL,2400,4.1,1.2,5,14,2025-12-13T00:00:00
