player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shohei Ohtani,LAD,7800,0.1,3.0,1,1,2026-04-01T00:00:00+00:00
José Ramírez,CLE,3700,-0.5,1.1,2,2,2026-04-01T00:00:00+00:00
Chris Sale,ATL,3300,5.2,,1,3,2026-04-01T00:00:00+00:00
Mike Trout,LAA,2400,3.2,,2,4,2026-04-01T00:00:00+00:00
Kyle Tucker,HOU,2300,2.6,2.0,4,5,2026-04-01T00:00:00+00:00
Corbin Carroll,ARI,2200,-0.5,3.0,3,6,2026-04-01T00:00:00+00:00
Cal Raleigh,SEA,2100,-0.6,3.0,5,7,2026-04-01T00:00:00+00:00
Mookie Betts,LAD,1900,4.2,2.5,5,8,2026-04-01T00:00:00+00:00
Kevin Gausman,TOR,1900,6.6,,2,9,2026-04-01T00:00:00+00:00
Yordan Alvarez,HOU,1900,1.3,3.0,2,10,2026-04-01T00:00:00+00:00
Framber Valdez,HOU,1900,3.6,,3,11,2026-04-01T00:00:00+00:00
Sandy Alcantara,MIA,1800,5.7,,2,12,2026-04-01T00:00:00+00:00
Fernando Tatis Jr.,SD,1700,-0.6,3.0,4,13,2026-04-01T00:00:00+00:00
George Kirby,SEA,1700,4.4,,4,14,2026-04-01T00:00:00+00:00
