player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Giannis Antetokounmpo,MIL,20500,6.2,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Shai Gilgeous-Alexander,OKC,18300,5.2,0.0,2,2,2026-03-28T12:00:00.000000+00:00
Tyrese Maxey,PHI,12200,5.6,0.0,1,3,2026-03-28T12:00:00.000000+00:00
Stephen Curry,GS,11500,3.5,0.1,1,4,2026-03-28T12:00:00.000000+00:00
Jalen Brunson,NY,10300,4.7,0.2,4,5,2026-03-28T12:00:00.000000+00:00
VJ Edgecombe,PHI,7600,2.4,0.2,2,6,2026-03-28T12:00:00.000000+00:00
LaMelo Ball,CHA,6200,4.0,0.0,4,7,2026-03-28T12:00:00.000000+00:00
Zach LaVine,SAC,6100,2.8,0.5,5,8,2026-03-28T12:00:00.000000+00:00
Kawhi Leonard,LAC,5800,2.2,0.5,3,9,2026-03-28T12:00:00.000000+00:00
James Harden,LAC,5700,2.2,0.4,3,10,2026-03-28T12:00:00.000000+00:00
Jimmy Butler III,GS,5500,3.9,0.5,3,11,2026-03-28T12:00:00.000000+00:00
Jonathan Kuminga,GS,3600,1.4,0.9,5,12,2026-03-28T12:00:00.000000+00:00
Bam Adebayo,MIA,3400,3.8,1.0,5,13,2026-03-28T12:00:00.000000+00:00
Ivica Zubac,LAC,2900,2.5,1.0,5,14,2026-03-28T12:00:00.000000+00:00
