player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,14400,5.2,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Tyrese Maxey,PHI,8000,5.1,0.0,1,2,2026-03-28T12:00:00.000000+00:00
Austin Reaves,LAL,7400,3.0,0.0,1,3,2026-03-28T12:00:00.000000+00:00
Devin Booker,PHX,6300,6.5,0.5,2,4,2026-03-28T12:00:00.000000+00:00
VJ Edgecombe,PHI,5700,2.8,0.4,2,5,2026-03-28T12:00:00.000000+00:00
Luka Doncic,DAL,5100,6.6,0.0,1,6,2026-03-28T12:00:00.000000+00:00
Jalen Brunson,NY,5100,4.5,0.2,2,7,2026-03-28T12:00:00.000000+00:00
Ja Morant,MEM,4900,2.0,0.6,4,8,2026-03-28T12:00:00.000000+00:00
Lauri Markkanen,UTAH,3900,3.4,0.1,4,9,2026-03-28T12:00:00.000000+00:00
Jaylen Brown,BOS,3800,5.9,0.4,3,10,2026-03-28T12:00:00.000000+00:00
James Harden,LAC,2900,5.1,0.6,3,11,2026-03-28T12:00:00.000000+00:00
Pascal Siakam,IND,2800,2.8,0.2,4,12,2026-03-28T12:00:00.000000+00:00
Deni Avdija,POR,2800,2.7,0.8,5,13,2026-03-28T12:00:00.000000+00:00
Evan Mobley,CLE,2800,5.0,0.5,3,14,2026-03-28T12:00:00.000000+00:00
