player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Anthony Edwards,MIN,8200,3.8,0.3,1,1,2025-12-21T00:00:00+00:00
Kevin Durant,PHX,6800,4.1,0.6,2,2,2025-12-21T00:00:00+00:00
Jalen Brunson,NYK,6500,7.3,0.2,1,3,2025-12-21T00:00:00+00:00
Jalen Johnson,ATL,5400,6.2,0.2,1,4,2025-12-21T00:00:00+00:00
Victor Wembanyama,SA,5300,2.4,0.2,1,5,2025-12-21T00:00:00+00:00
Alperen Sengun,HOU,4700,5.0,0.3,1,6,2025-12-21T00:00:00+00:00
Karl-Anthony Towns,NYK,3500,0.7,0.5,3,7,2025-12-21T00:00:00+00:00
Michael Porter Jr.,DEN,3400,3.9,0.5,3,8,2025-12-21T00:00:00+00:00
Brandon Ingram,NOP,3300,2.7,0.8,4,9,2025-12-21T00:00:00+00:00
Amen Thompson,HOU,3000,4.6,0.7,3,10,2025-12-21T00:00:00+00:00
Josh Giddey,CHI,3000,5.5,0.4,3,11,2025-12-21T00:00:00+00:00
Scottie Barnes,TOR,2800,1.3,0.4,3,12,2025-12-21T00:00:00+00:00
Russell Westbrook,SAC,2600,3.6,1.0,5,13,2025-12-21T00:00:00+00:00
Maxime Raynaud,SAC,2600,2.1,2.7,4,14,2025-12-21T00:00:00+00:00
