player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,DAL,14400,3.7,0.0,1,1,2025-12-30T00:00:00+00:00
Cade Cunningham,DET,10300,4.5,0.2,2,2,2025-12-30T00:00:00+00:00
Jaylen Brown,BOS,8800,4.3,0.3,2,3,2025-12-30T00:00:00+00:00
Kawhi Leonard,LAC,8500,5.6,0.2,2,4,2025-12-30T00:00:00+00:00
Tyrese Maxey,PHI,7500,8.3,0.1,2,5,2025-12-30T00:00:00+00:00
LeBron James,LAL,5700,1.9,0.6,2,6,2025-12-30T00:00:00+00:00
James Harden,LAC,5500,3.5,0.2,2,7,2025-12-30T00:00:00+00:00
Russell Westbrook,DEN,5100,1.2,1.0,3,8,2025-12-30T00:00:00+00:00
Lauri Markkanen,UTA,4800,3.7,0.4,3,9,2025-12-30T00:00:00+00:00
Jalen Duren,DET,4700,2.7,0.7,3,10,2025-12-30T00:00:00+00:00
VJ Edgecombe,PHI,3800,5.1,1.0,4,11,2025-12-30T00:00:00+00:00
Maxime Raynaud,PHI,3700,2.4,2.4,3,12,2025-12-30T00:00:00+00:00
Jaren Jackson Jr.,MEM,3700,3.2,1.0,3,13,2025-12-30T00:00:00+00:00
DeMar DeRozan,SAC,2900,1.3,0.9,5,14,2025-12-30T00:00:00+00:00
