player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,15200,7.5,,1,1,2026-03-29T00:00:00+00:00
Cade Cunningham,DET,9100,5.4,0.2,2,2,2026-03-29T00:00:00+00:00
Josh Giddey,CHI,5600,4.2,0.3,2,3,2026-03-29T00:00:00+00:00
Jalen Duren,DET,5300,2.6,0.5,3,4,2026-03-29T00:00:00+00:00
Cooper Flagg,DAL,4900,1.9,1.1,5,5,2026-03-29T00:00:00+00:00
Jalen Johnson,ATL,4900,3.8,0.3,2,6,2026-03-29T00:00:00+00:00
Ryan Rollins,MIL,4100,3.4,0.7,3,7,2026-03-29T00:00:00+00:00
Karl-Anthony Towns,NYK,4000,2.8,0.5,3,8,2026-03-29T00:00:00+00:00
Jalen Brunson,NYK,3900,5.6,0.3,2,9,2026-03-29T00:00:00+00:00
James Harden,CLE,3500,10.1,0.2,2,10,2026-03-29T00:00:00+00:00
Derik Queen,HOU,3300,3.0,1.6,2,11,2026-03-29T00:00:00+00:00
Jamal Murray,DEN,2800,4.5,0.4,2,12,2026-03-29T00:00:00+00:00
Franz Wagner,ORL,2800,6.6,0.6,4,13,2026-03-29T00:00:00+00:00
Russell Westbrook,DEN,2500,4.7,1.1,5,14,2026-03-29T00:00:00+00:00
