player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Victor Wembanyama,SAS,18000,6.3,0.0,1,1,2026-03-28T00:00:00.000000+00:00
Luka Doncic,LAL,16100,8.3,0.0,1,2,2026-03-28T00:00:00.000000+00:00
Anthony Edwards,MIN,12300,4.4,0.0,2,3,2026-03-28T00:00:00.000000+00:00
Giannis Antetokounmpo,MIL,10000,6.6,0.0,2,4,2026-03-28T00:00:00.000000+00:00
Stephen Curry,GSW,8200,6.0,0.0,1,5,2026-03-28T00:00:00.000000+00:00
Alperen Sengun,HOU,5000,3.2,0.0,4,6,2026-03-28T00:00:00.000000+00:00
Jalen Brunson,NYK,4600,3.9,0.9,5,7,2026-03-28T00:00:00.000000+00:00
Kawhi Leonard,LAC,3900,5.1,3.0,4,8,2026-03-28T00:00:00.000000+00:00
Anthony Davis,LAL,3800,4.1,0.6,4,9,2026-03-28T00:00:00.000000+00:00
Donovan Mitchell,CLE,3600,5.7,0.1,4,10,2026-03-28T00:00:00.000000+00:00
Devin Booker,PHX,3600,2.7,0.7,5,11,2026-03-28T00:00:00.000000+00:00
Paolo Banchero,ORL,3500,1.1,0.9,5,12,2026-03-28T00:00:00.000000+00:00
Cade Cunningham,DET,3400,2.7,0.6,5,13,2026-03-28T00:00:00.000000+00:00
Cooper Flagg,DAL,3400,2.8,3.0,5,14,2026-03-28T00:00:00.000000+00:00
