player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,LAL,17400,5.0,0.0,1,1,2025-11-18T00:00:00+00:00
Stephen Curry,GSW,9100,6.1,0.3,2,2,2025-11-18T00:00:00+00:00
Devin Booker,PHX,9100,3.4,0.4,3,3,2025-11-18T00:00:00+00:00
Lauri Markkanen,UTA,8800,4.3,0.2,2,4,2025-11-18T00:00:00+00:00
Jalen Duren,DET,6900,4.0,0.5,3,5,2025-11-18T00:00:00+00:00
Jaylen Brown,BOS,6000,3.1,0.4,3,6,2025-11-18T00:00:00+00:00
Deni Avdija,POR,5400,2.7,0.5,3,7,2025-11-18T00:00:00+00:00
Austin Reaves,LAL,5300,2.9,0.2,2,8,2025-11-18T00:00:00+00:00
Jalen Johnson,ATL,5300,4.4,0.3,2,9,2025-11-18T00:00:00+00:00
Shaedon Sharpe,POR,4900,3.1,1.0,2,10,2025-11-18T00:00:00+00:00
Franz Wagner,ORL,4300,3.0,0.5,3,11,2025-11-18T00:00:00+00:00
Michael Porter Jr.,DEN,4000,4.1,0.6,4,12,2025-11-18T00:00:00+00:00
De'Aaron Fox,SAC,3100,3.4,0.5,1,13,2025-11-18T00:00:00+00:00
Jimmy Butler III,GSW,2900,5.2,0.6,3,14,2025-11-18T00:00:00+00:00
