player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,17700,10.7,0.0,1,1,2025-12-25T00:00:00+00:00
Cooper Flagg,DAL,13100,3.9,0.7,3,2,2025-12-25T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,11200,3.1,0.0,1,3,2025-12-25T00:00:00+00:00
Anthony Edwards,MIN,10400,5.7,0.3,2,4,2025-12-25T00:00:00+00:00
Stephen Curry,GSW,9200,2.6,0.2,2,5,2025-12-25T00:00:00+00:00
Kevin Durant,PHX,8000,4.1,0.6,4,6,2025-12-25T00:00:00+00:00
Victor Wembanyama,SAS,6500,2.8,0.3,5,7,2025-12-25T00:00:00+00:00
Luka Doncic,LAL,5800,3.4,0.0,1,8,2025-12-25T00:00:00+00:00
Jalen Brunson,NYK,4400,3.9,0.2,2,9,2025-12-25T00:00:00+00:00
Austin Reaves,LAL,4300,1.3,0.3,3,10,2025-12-25T00:00:00+00:00
Jamal Murray,DEN,4000,5.0,0.2,2,11,2025-12-25T00:00:00+00:00
Donovan Mitchell,CLE,3800,6.3,0.2,4,12,2025-12-25T00:00:00+00:00
Amen Thompson,HOU,3300,4.2,0.7,4,13,2025-12-25T00:00:00+00:00
Tim Hardaway Jr.,DAL,3200,2.4,2.0,4,14,2025-12-25T00:00:00+00:00
