player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Shai Gilgeous-Alexander,OKC,16400,6.1,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Giannis Antetokounmpo,MIL,16000,3.4,0.0,1,2,2026-03-28T12:00:00.000000+00:00
Stephen Curry,GS,10900,4.1,0.4,3,3,2026-03-28T12:00:00.000000+00:00
Tyrese Maxey,PHI,9000,7.2,0.0,3,4,2026-03-28T12:00:00.000000+00:00
Devin Booker,PHX,7000,3.3,0.3,4,5,2026-03-28T12:00:00.000000+00:00
Josh Giddey,CHI,6700,5.3,0.2,2,6,2026-03-28T12:00:00.000000+00:00
VJ Edgecombe,PHI,6600,2.6,0.5,3,7,2026-03-28T12:00:00.000000+00:00
Paolo Banchero,ORL,6300,3.6,0.5,3,8,2026-03-28T12:00:00.000000+00:00
James Harden,LAC,5000,4.6,0.4,3,9,2026-03-28T12:00:00.000000+00:00
Miles Bridges,CHA,3600,3.3,0.7,3,10,2026-03-28T12:00:00.000000+00:00
Franz Wagner,ORL,3500,1.7,0.6,4,11,2026-03-28T12:00:00.000000+00:00
Dyson Daniels,ATL,3200,3.8,1.8,5,12,2026-03-28T12:00:00.000000+00:00
Jalen Johnson,ATL,3100,2.8,0.6,4,13,2026-03-28T12:00:00.000000+00:00
Scottie Barnes,TOR,2800,4.9,0.5,3,14,2026-03-28T12:00:00.000000+00:00
