player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nikola Jokic,DEN,19900,4.5,0.0,1,1,2025-11-28T00:00:00+00:00
Luka Doncic,LAL,19500,5.8,0.0,1,2,2025-11-28T00:00:00+00:00
Shai Gilgeous-Alexander,OKC,14900,5.6,0.0,1,3,2025-11-28T00:00:00+00:00
Cade Cunningham,DET,8000,6.0,0.1,4,4,2025-11-28T00:00:00+00:00
Tyrese Maxey,PHI,7800,4.1,0.0,4,5,2025-11-28T00:00:00+00:00
James Harden,CLE,5900,4.5,0.1,4,6,2025-11-28T00:00:00+00:00
Donovan Mitchell,CLE,4400,5.2,0.2,5,7,2025-11-28T00:00:00+00:00
Lauri Markkanen,UTA,4400,3.4,0.3,4,8,2025-11-28T00:00:00+00:00
Devin Booker,PHX,4300,3.3,0.5,3,9,2025-11-28T00:00:00+00:00
Josh Giddey,CHI,4300,4.6,0.3,2,10,2025-11-28T00:00:00+00:00
Karl-Anthony Towns,NYK,4100,2.3,0.5,3,11,2025-11-28T00:00:00+00:00
Jalen Brunson,NYK,4000,4.8,0.3,5,12,2025-11-28T00:00:00+00:00
Jalen Johnson,ATL,3900,6.1,0.4,3,13,2025-11-28T00:00:00+00:00
Austin Reaves,LAL,3800,7.1,0.2,2,14,2025-11-28T00:00:00+00:00
