player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Victor Wembanyama,SA,22700,4.3,0.0,1,1,2026-03-28T12:00:00.000000+00:00
Shai Gilgeous-Alexander,OKC,18000,3.2,0.0,1,2,2026-03-28T12:00:00.000000+00:00
Nikola Jokic,DEN,16200,6.0,0.0,2,3,2026-03-28T12:00:00.000000+00:00
Stephen Curry,GS,11900,2.3,0.0,3,4,2026-03-28T12:00:00.000000+00:00
Austin Reaves,LAL,7800,4.2,0.0,1,5,2026-03-28T12:00:00.000000+00:00
Devin Booker,PHX,5900,5.0,0.9,5,6,2026-03-28T12:00:00.000000+00:00
Cade Cunningham,DET,5600,1.4,0.9,4,7,2026-03-28T12:00:00.000000+00:00
Tyrese Maxey,PHI,5200,5.9,0.0,4,8,2026-03-28T12:00:00.000000+00:00
Donovan Mitchell,CLE,5000,3.7,0.3,4,9,2026-03-28T12:00:00.000000+00:00
Jimmy Butler III,GS,4800,3.0,0.5,3,10,2026-03-28T12:00:00.000000+00:00
Ja Morant,MEM,4600,3.2,0.7,4,11,2026-03-28T12:00:00.000000+00:00
Trae Young,ATL,3900,4.5,1.0,5,12,2026-03-28T12:00:00.000000+00:00
Anthony Davis,DAL,3900,4.7,0.2,4,13,2026-03-28T12:00:00.000000+00:00
Amen Thompson,HOU,3500,3.2,2.2,5,14,2026-03-28T12:00:00.000000+00:00
