player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Anthony Edwards,MIN,11800,1.3,0.3,2,1,2025-12-04T00:00:00+00:00
Austin Reaves,LAL,11000,6.9,0.2,1,2,2025-12-04T00:00:00+00:00
Tyrese Maxey,PHI,9800,4.6,0.0,1,3,2025-12-04T00:00:00+00:00
Lauri Markkanen,UTA,6100,3.7,0.4,3,4,2025-12-04T00:00:00+00:00
Scottie Barnes,TOR,5000,5.5,0.4,3,5,2025-12-04T00:00:00+00:00
Brandon Ingram,NOP,4300,3.4,0.8,4,6,2025-12-04T00:00:00+00:00
Payton Pritchard,BOS,4000,3.8,0.8,3,7,2025-12-04T00:00:00+00:00
Derrick White,BOS,3400,5.2,0.8,4,8,2025-12-04T00:00:00+00:00
Derik Queen,BKN,3300,2.2,1.6,3,9,2025-12-04T00:00:00+00:00
Trey Murphy III,NOP,3000,4.0,0.7,4,10,2025-12-04T00:00:00+00:00
LeBron James,LAL,2900,3.9,1.0,1,11,2025-12-04T00:00:00+00:00
Julius Randle,MIN,2800,3.4,0.4,2,12,2025-12-04T00:00:00+00:00
CJ McCollum,NOP,2600,2.2,1.0,5,13,2025-12-04T00:00:00+00:00
Keyonte George,UTA,2600,4.9,0.5,3,14,2025-12-04T00:00:00+00:00
