player_name,team,actual_rs,drafts,total_value,source
Anthony Black,SAS,2.3,67,16.2,highest_value
Ryan Rollins,SAS,2.5,292,16.1,highest_value
Davidson Carter Jr.,LAL,2.6,32,16.0,highest_value
Paolo Banchero,ORL,2.3,126,14.3,highest_value
Brogan Castle,CLE,2.1,235,14.3,highest_value
Jaylin Williams,OKC,2.0,9,13.2,highest_value
Cason Wallace,OKC,1.9,27,12.0,highest_value
Bam Adebayo,MIA,1.9,489,12.2,highest_value
Andrew Wiggins,LAL,1.7,78,11.8,highest_value
Myles Turner,IND,1.6,80,11.8,highest_value
Bobby Portis,MIL,1.6,79,11.6,highest_value
Tristan da Silva,CLE,1.5,20,11.4,highest_value
Victor Wembanyama,SAS,1.5,10500,11.1,highest_value
Jonathan Kuminga,GSW,1.5,476,10.9,highest_value
