player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Isaiah Collier,UTA,4.3,3.0,9,1,21.3,highest_value
Justin Edwards,PHI,4.7,3.0,1,4,20.5,highest_value
Svi Mykhailiuk,UTA,4.0,2.7,15,1,18.7,highest_value
Ace Bailey,UTA,3.4,3.0,33,1,16.9,highest_value
Drew Eubanks,TOR,3.3,3.0,23,1,16.5,highest_value
Nikola Jokic,DEN,8.3,0,10000,1,16.5,highest_value
Andrew Nembhard,IND,4.0,2.1,126,1,16.4,highest_value
Egor Demin,BKN,3.0,3.0,17,1,15.1,highest_value
Jaylen Wells,MEM,2.9,3.0,3,1,14.6,highest_value
Noah Clowney,BKN,2.9,3.0,2,1,14.6,highest_value
Lauri Markkanen,UTA,5.6,0.5,542,1,14.5,highest_value
Bruce Brown,DEN,2.8,3.0,32,1,14.1,highest_value
Mikal Bridges,NYK,5.0,0.7,26,1,13.5,highest_value
Kyle Filipowski,UTA,2.6,3.0,12,1,13.2,highest_value
Shai Gilgeous-Alexander,OKC,6.0,0,14300,1,12.0,most_popular
Tyrese Maxey,PHI,4.7,0,9800,3,7.52,most_popular
Stephen Curry,GSW,1.2,0.4,8000,3,2.4,most_popular
Karl-Anthony Towns,NYK,4.7,0.6,5700,3,10.34,most_popular
Jalen Brunson,NYK,4.7,0.3,5300,4,7.99,most_popular
Jaylen Brown,BOS,3.3,0.4,5100,4,5.94,most_popular
Russell Westbrook,DEN,3.6,1.0,3600,5,7.92,most_popular
Pascal Siakam,IND,3.7,0.4,3600,4,6.66,most_popular
VJ Edgecombe,PHI,2.0,0.9,3300,5,4.2,most_popular
Scottie Barnes,TOR,3.2,0.4,3200,3,6.4,most_popular
Isaiah Hartenstein,OKC,1.6,0.8,2700,4,3.52,most_popular
Nicolas Claxton,BKN,4.1,1.0,,1,12.3,winning_drafts
Aaron Nesmith,IND,3.4,1.6,,2,11.56,winning_drafts
