player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Nickeil Alexander-Walker,ATL,6.5,1.2,121,1,20.8,highest_value
Tyrese Maxey,PHI,9.4,,6700,1,19.7,highest_value
Santi Aldama,MEM,5.0,1.6,81,1,18.1,highest_value
Vince Williams Jr.,MEM,3.7,2.8,83,1,17.6,highest_value
David Jones-Garcia,SAS,3.5,3.0,1,1,17.5,highest_value
Jalen Suggs,ORL,4.6,1.6,38,1,16.4,highest_value
Jock Landale,MEM,3.7,2.2,14,1,15.4,highest_value
Ryan Rollins,MIL,5.5,0.8,817,1,15.3,highest_value
Keldon Johnson,SAS,4.2,1.6,44,1,15.1,highest_value
Bobby Portis,MIL,3.1,2.8,88,1,14.9,highest_value
Julian Champagnie,SAS,3.1,2.7,50,1,14.7,highest_value
Paul George,PHI,3.5,2.0,31,1,13.9,highest_value
De'Aaron Fox,SAS,5.5,0.5,746,1,13.7,highest_value
Goga Bitadze,ORL,2.7,2.8,19,1,12.8,highest_value
Jeremy Sochan,SAS,2.4,3.0,14,1,12.1,highest_value
Luke Kennard,ATL,2.4,3.0,3,1,12.1,highest_value
Tristan da Silva,ORL,2.7,2.0,68,1,10.8,highest_value
