player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Bub Carrington,WAS,4.6,3.0,7,1,23.2,highest_value
Kon Knueppel,CHA,5.9,1.1,187,1,18.1,highest_value
Kevin Love,CLE,3.7,3.0,1,2,17.9,highest_value
Keyonte George,UTA,6.6,0.6,267,1,17.3,highest_value
Rudy Gobert,MIN,5.2,1.2,76,1,16.8,highest_value
Miles Bridges,CHA,5.9,0.8,233,1,16.5,highest_value
Cedric Coward,MEM,4.5,1.6,52,1,16.3,highest_value
Jusuf Nurkic,PHX,4.2,1.8,30,1,15.8,highest_value
Marvin Bagley III,WAS,3.4,2.6,11,1,15.7,highest_value
Joel Embiid,PHI,5.4,0.9,249,1,15.6,highest_value
CJ McCollum,NOP,5.1,1.0,55,1,15.2,highest_value
Cam Spencer,CLE,3.7,2.0,188,1,15.0,highest_value
Zach Collins,SAS,3.0,3.0,1,1,14.9,highest_value
Cooper Flagg,CHA,4.8,1.1,789,1,14.7,highest_value
Patrick Williams,CHI,2.9,3.0,2,1,14.4,highest_value
Donovan Mitchell,CLE,6.5,0.2,1500,1,14.2,highest_value
Jamir Watkins,WAS,3.1,3.0,1,3,14.1,highest_value
