player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
GG Jackson II,4.8,2.6,154,,22.5,highest_value
Desmond Bane,6.5,0.8,261,,18.1,highest_value
Jaylen Wells,4.0,2.2,38,,16.8,highest_value
Jalen Green,3.7,2.5,400,,16.7,highest_value
Andrew Wiggins,5.2,1.1,91,,16.0,highest_value
Jordan Poole,3.9,1.8,1,,14.8,highest_value
Guerschon Yabusele,2.9,3.0,3,,14.5,highest_value
Norman Powell,5.1,0.8,270,,14.4,highest_value
Oso Ighodaro,2.6,3.0,3,,13.2,highest_value
Olivier-Maxence Prosper,2.6,3.0,44,,13.0,highest_value
Maxime Raynaud,3.0,2.3,347,,13.0,highest_value
Victor Wembanyama,5.6,0.3,3200,,12.9,highest_value
Isaac Okoro,2.6,2.9,2,,12.8,highest_value
