player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Caleb Love,CLE,4.5,3.0,11,1,22.6,highest_value
Andrew Nembhard,IND,5.0,1.4,16,1,17.1,highest_value
Jaylin Williams,OKC,3.4,3.0,3,1,16.9,highest_value
Derik Queen,HOU,4.3,1.8,97,1,16.4,highest_value
Sandro Mamukelashvili,MIL,3.6,2.5,4,1,16.3,highest_value
Anthony Edwards,MIN,5.9,0.6,258,1,15.3,highest_value
Cooper Flagg,NOP,4.5,1.3,218,1,15.0,highest_value
Pelle Larsson,PHX,3.4,2.3,4,1,14.8,highest_value
Jeremiah Fears,OKC,3.9,1.8,19,1,14.8,highest_value
Noah Clowney,BKN,3.1,2.8,2,1,14.7,highest_value
Donovan Clingan,POR,4.4,1.3,77,1,14.4,highest_value
Reed Sheppard,HOU,4.2,1.4,13,1,14.3,highest_value
Stephen Curry,GSW,6.5,0.2,1400,1,14.3,highest_value
Jamal Shead,TOR,2.8,3.0,2,1,14.2,highest_value
