player_name,team,actual_rs,drafts,total_value,source
Cedric Coward,PHI,5.4,154,24.7,highest_value
Quentin Grimes,DAL,4.2,22,21.2,highest_value
Javon Small,OKC,3.6,1,17.9,highest_value
Joel Embiid,PHI,3.3,294,16.6,highest_value
Paolo Banchero,ORL,3.3,1100,16,highest_value
Collin Sexton,UTA,3.8,4,15.6,highest_value
Chet Holmgren,OKC,5.7,177,14.8,highest_value
LaMelo Ball,CHA,5.1,302,14.8,highest_value
Christian Braun,DEN,2.7,77,13.7,highest_value
Kelly Oubre Jr.,NYK,2.7,3,13.4,highest_value
Andre Drummond,PHI,2.7,1,12.6,highest_value
Onyeka Okongwu,ATL,2.9,285,11.8,highest_value
Grayson Allen,PHX,2.9,186,11.6,highest_value
