player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Nikola Jokic,DEN,10.7,0.0,9500,1,21.5,highest_value
Jordan Clarkson,UTA,3.9,2.9,2,1,18.9,highest_value
Tyler Kolek,NYK,3.1,3.0,42,1,15.4,highest_value
Donovan Mitchell,CLE,6.3,0.2,659,1,13.9,highest_value
Brandon Williams,MIN,3.3,2.2,13,1,13.8,highest_value
De'Aaron Fox,SAC,5.3,0.5,86,1,13.2,highest_value
Julius Randle,MIN,5.3,0.5,328,1,13.2,highest_value
De'Anthony Melton,PHI,2.7,3.0,1,1,13.1,highest_value
Anthony Edwards,MIN,5.7,0.3,1800,1,13.0,highest_value
Tari Eason,HOU,3.2,1.9,1,1,12.3,highest_value
Al Horford,OKC,2.8,3.0,3,1,11.7,highest_value
Amen Thompson,HOU,4.2,0.7,428,1,11.4,highest_value
Jamal Murray,DEN,5.0,0.2,645,1,11.1,highest_value
Spencer Jones,DEN,2.2,3.0,316,1,10.8,highest_value
