player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Austin Reaves,LAL,6.9,0.2,3700,1,15.3,highest_value
Bryce McGowens,POR,2.7,3.0,1,1,13.7,highest_value
Buddy Hield,PHI,3.0,3.0,9,1,14.8,highest_value
Derrick White,BOS,5.2,0.8,442,1,14.6,highest_value
Hugo Gonzalez,BOS,2.8,3.0,2,1,13.9,highest_value
Ja'Kobe Walter,TOR,2.7,3.0,2,1,13.5,highest_value
Jordan Walsh,BOS,4.8,2.6,10,1,22.2,highest_value
Keyonte George,UTA,4.9,0.5,362,1,12.2,highest_value
Kyle Filipowski,UTA,3.4,2.5,18,1,15.1,highest_value
Naz Reid,MIN,4.2,1.3,76,1,13.9,highest_value
Neemias Queta,BOS,3.6,1.5,42,1,12.6,highest_value
Noah Clowney,BKN,4.2,2.0,271,1,16.8,highest_value
Scottie Barnes,TOR,5.5,0.4,767,1,13.2,highest_value
Ziaire Williams,OKC,2.7,3.0,5,1,13.7,highest_value
