player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Julian Champagnie,SAS,6.5,2.4,2,1,28.4,highest_value
Jonas Valanciunas,WAS,3.8,3.0,170,1,19.1,highest_value
Isaac Okoro,CLE,4.0,3.0,2,2,19.0,highest_value
Bub Carrington,WAS,3.6,2.6,7,1,16.5,highest_value
Tre Jones,SAS,4.8,1.4,50,1,16.2,highest_value
Justin Champagnie,BOS,3.1,3.0,1,2,15.1,highest_value
Jalen Johnson,ATL,6.5,0.2,770,1,14.3,highest_value
Jordan Clarkson,UTA,3.0,2.8,7,1,14.3,highest_value
Luke Kennard,MEM,2.8,3.0,1,1,14.1,highest_value
Miles McBride,NYK,3.6,1.9,5,1,14.0,highest_value
Scottie Barnes,TOR,5.5,0.5,590,1,13.6,highest_value
De'Aaron Fox,SAC,5.3,0.5,117,1,13.1,highest_value
LaMelo Ball,CHA,5.2,0.5,61,1,12.9,highest_value
Draymond Green,GS,3.3,1.9,4,1,12.9,highest_value
