player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Cam Spencer,BOS,3.4,2.1,4,1,13.8,highest_value
Cedric Coward,,4.1,1.7,5,2,14.4,highest_value
Dean Wade,CLE,3.2,3.0,2,1,15.8,highest_value
Devin Vassell,SAS,4.5,1.3,4,1,14.7,highest_value
Jabari Walker,POR,2.8,3.0,2,1,14.1,highest_value
Jalen Johnson,ATL,6.6,0.3,200,1,15.3,highest_value
Jay Huff,IND,4.2,2.4,24,1,18.5,highest_value
Jaylon Tyson,CLE,4.6,1.4,8,1,15.6,highest_value
Jordan Clarkson,UTA,3.1,2.9,5,1,15.3,highest_value
Jordan Walsh,BOS,3.6,2.1,45,3,13.5,highest_value
Miles McBride,NYK,4.0,1.9,7,1,15.7,highest_value
Paul George,PHI,3.9,1.4,5,1,13.1,highest_value
Robert Williams III,POR,2.7,3.0,3,1,13.6,highest_value
Tidjane Salaun,CHA,4.0,3.0,1,1,20.1,highest_value
