player_name,team,actual_rs,drafts,total_value,source
Jalo Latazia,UTA,3.5,9,27.9,highest_value
Cade Cunningham,DET,3.2,1200,20.5,highest_value
Jabari Smith Jr.,HOU,3.1,6,19.5,highest_value
Sam Hauser,BOS,2.9,2,17.7,highest_value
Cole Anthony,ORL,2.8,23,17.3,highest_value
Matas Buzelis,CHA,2.5,8,16.7,highest_value
Randon Williams,CHI,2.4,1,16.2,highest_value
Darius Garland,CLE,2.2,15,15.8,highest_value
Jeremiah Fears,GSW,2.2,6,15.8,highest_value
Brandon Ingram,NOP,1.7,105,15.1,highest_value
Jarace Walker,GSW,1.6,6,15.1,highest_value
Jalen Johnson,ATL,1.5,742,15.1,highest_value
Jaylen Tyson,GSW,1.5,1,14.9,highest_value
Mike Conley,UTA,1.5,2,14.8,highest_value
