player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Nolan Traoré,BKN,4.0,3.0,21,,20.2,highest_value
Isaiah Joe,OKC,4.1,2.7,26,,19.1,highest_value
Toumani Camara,POR,5.2,1.6,34,,18.6,highest_value
Maxime Raynaud,SAC,4.1,2.5,15,,18.4,highest_value
Nicolas Claxton,BKN,5.9,1.1,27,,18.3,highest_value
Kasparas Jakucionis,MIA,3.4,3.0,20,,17.1,highest_value
Alex Caruso,OKC,3.5,3.0,4,,16.8,highest_value
Pat Spencer,GSW,3.2,3.0,108,,15.9,highest_value
Taylor Hendricks,MEM,3.2,3.0,2,,15.8,highest_value
Al Horford,GSW,3.7,2.2,1,,15.7,highest_value
CJ McCollum,ATL,5.2,1.0,34,,15.5,highest_value
Danny Wolf,BKN,3.2,2.8,209,,15.1,highest_value
Jaden McDaniels,MIN,4.2,1.3,36,,14.0,highest_value
