player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Tari Eason,HOU,4.3,2.0,4,1,17.3,highest_value
Ousmane Dieng,MIL,3.1,3.0,16,1,15.6,highest_value
Daniss Jenkins,BOS,3.3,2.3,668,1,14.7,highest_value
Brook Lopez,MIL,3.0,2.9,37,1,14.6,highest_value
Jalen Duren,DET,5.5,0.6,282,1,14.4,highest_value
Luka Doncic,LAL,7.1,0.0,9100,1,14.1,highest_value
Kevin Durant,PHX,5.6,0.5,612,1,14.0,highest_value
John Collins,UTA,3.6,1.7,47,1,13.3,highest_value
Reed Sheppard,HOU,3.9,1.4,73,1,13.2,highest_value
Pete Nance,MIL,2.6,3.0,1,1,13.1,highest_value
Ryan Rollins,BOS,4.4,0.9,118,1,12.8,highest_value
Kris Murray,POR,2.5,3.0,3,1,12.4,highest_value
Thomas Bryant,MIA,2.5,3.0,1,1,12.3,highest_value
Kyle Kuzma,MIL,3.3,1.7,7,1,12.1,highest_value
Caris LeVert,CLE,2.4,3.0,2,1,12.0,highest_value
Jrue Holiday,BOS,4.0,1.0,40,1,12.0,highest_value
Paul Reed,PHI,2.5,2.6,47,1,11.9,highest_value
