player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Sam Hauser,BOS,5.9,2.8,6,,28.3,highest_value
Klay Thompson,DAL,4.6,2.5,52,,20.6,highest_value
Drew Timme,LAL,3.6,3.0,1,,17.8,highest_value
Kyshawn George,WAS,5.5,1.2,20,,17.6,highest_value
Will Richard,GSW,3.3,3.0,17,,16.4,highest_value
Caleb Love,POR,3.6,2.5,72,,16.1,highest_value
Anthony Edwards,MIN,6.7,0.3,781,,15.5,highest_value
De'Anthony Melton,GSW,3.6,2.3,8,,15.5,highest_value
Dwight Powell,DAL,3.1,3.0,3,,15.4,highest_value
Brandon Williams,DAL,3.7,2.0,26,,14.9,highest_value
Miles McBride,NYK,4.1,1.6,37,,14.8,highest_value
Bam Adebayo,MIA,5.2,0.8,31,,14.7,highest_value
Brandin Podziemski,GSW,4.1,1.6,31,,14.6,highest_value
