player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Paul Reed,,5.6,3.0,533,,27.9,highest_value
Jose Alvarado,,5.2,2.8,6,,24.8,highest_value
Sam Merrill,,6.7,1.8,3,,24.1,highest_value
Day'Ron Sharpe,,4.8,2.1,290,,19.8,highest_value
Jordan Walsh,,4.0,3.0,1,,19.8,highest_value
Micah Potter,,3.8,3.0,2,,18.1,highest_value
Jalen Williams,,6.2,0.9,44,,17.9,highest_value
Jericho Sims,,3.4,3.0,2,,17.2,highest_value
Cam Thomas,,4.2,2.1,26,,17.1,highest_value
Desmond Bane,,6.0,0.8,23,,16.8,highest_value
Nolan Traoré,,3.2,3.0,60,,16.1,highest_value
Jaylin Williams,,3.3,2.9,1,,15.9,highest_value
Jalen Suggs,,5.1,1.1,7,,15.9,highest_value
