player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jamal Murray,DEN,11.4,0.4,55,1,27.3,highest_value
Maxime Raynaud,SAC,4.5,3.0,1,1,22.4,highest_value
Ryan Nembhard,IND,4.6,2.4,104,1,20.4,highest_value
Malik Monk,SAC,4.4,1.9,4,1,17.1,highest_value
Karl-Anthony Towns,NYK,6.1,0.5,350,1,15.8,highest_value
Naji Marshall,DAL,4.2,1.7,21,1,15.5,highest_value
Jericho Sims,NYK,3.2,3.0,1,2,15.4,highest_value
Caleb Love,GSW,2.9,3.0,3,1,14.5,highest_value
Michael Porter Jr.,DEN,5.6,0.6,137,1,14.5,highest_value
Nicolas Claxton,BKN,4.7,1.0,23,1,14.2,highest_value
Noah Clowney,BKN,3.4,2.1,125,1,13.8,highest_value
Kel'el Ware,MIA,4.2,1.2,81,1,13.5,highest_value
Evan Mobley,CLE,5.1,0.6,197,1,13.2,highest_value
Kobe Sanders,OKC,2.7,3.0,2,2,12.9,highest_value
