player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Kevin Love,UTA,4.2,3.0,1,1,21.2,highest_value
Reed Sheppard,HOU,6.1,1.4,4,1,20.8,highest_value
Noah Penda,NOP,4.4,3.0,2,3,20.4,highest_value
Santi Aldama,MEM,6.0,1.3,11,1,19.7,highest_value
Payton Pritchard,BOS,6.1,0.8,25,1,17.2,highest_value
Sandro Mamukelashvili,SA,4.0,2.2,4,1,16.9,highest_value
Svi Mykhailiuk,TOR,3.4,2.9,2,1,16.9,highest_value
Isaiah Collier,UTA,3.7,2.2,3,1,15.5,highest_value
Desmond Bane,MEM,5.3,0.9,84,1,15.3,highest_value
John Collins,UTA,3.5,2.3,24,1,15.1,highest_value
Cam Spencer,MEM,4.0,1.7,69,1,14.8,highest_value
Devin Booker,PHX,5.7,0.5,388,1,14.3,highest_value
Naji Marshall,NOP,4.0,1.6,19,1,14.2,highest_value
Jake LaRavia,MEM,3.3,2.2,20,1,13.7,highest_value
