player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jock Landale,MEM,4.1,2.0,182,1,16.3,highest_value
Donte DiVincenzo,MIN,4.3,1.3,564,1,14.2,highest_value
Jaren Jackson Jr.,MEM,4.3,1.2,844,1,13.8,highest_value
Rudy Gobert,MIN,4.1,1.1,492,1,12.7,highest_value
Jaylen Wells,MEM,3.2,1.9,387,1,12.5,highest_value
Nikola Vucevic,CHI,4.2,0.9,463,1,12.2,highest_value
Bones Hyland,MIN,2.4,3.0,73,1,12.0,highest_value
Josh Giddey,CHI,5.0,0.4,2000,1,11.9,highest_value
Tre Jones,CHI,3.4,1.4,24,1,11.7,highest_value
Jaylon Tyson,CLE,3.3,1.2,390,1,10.5,highest_value
Coby White,CHI,3.4,0.9,137,1,9.9,highest_value
Isaac Okoro,CLE,1.9,3.0,8,1,9.6,highest_value
Jarrett Allen,CLE,2.8,1.4,78,1,9.4,highest_value
Darius Garland,CLE,2.9,1.2,475,1,9.3,highest_value
