player_name,team,actual_rs,drafts,total_value,source
Keshi Leccardi,MIA,2.9,174,20.2,highest_value
Dyson Daniels,ORL,2.8,85,19.5,highest_value
Jaylen Tyson,GSW,2.5,13,18.2,highest_value
Donovan Clingan,POR,2.4,5,18.2,highest_value
Josh Giddey,OKC,2.2,129,18.2,highest_value
Devin Booker,PHX,2.0,858,16.6,highest_value
Jeremiah Fears,GSW,2.0,29,16.1,highest_value
Derrick Jones Jr.,CHI,1.9,3,15.9,highest_value
OG Anunoby,TOR,1.9,6,15.9,highest_value
JG Landale,PHX,1.8,2,14.4,highest_value
Keaton Wallace,LAC,1.6,578,13.1,highest_value
Jaylen Brown,BOS,1.5,638,13.1,highest_value
Jalen Johnson,ATL,1.5,116,13.2,highest_value
Luka Doncic,DAL,1.5,1800,13.1,highest_value
James Harden,LAC,1.5,243,13.1,highest_value
