player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Cameron Payne,,7.7,3.0,11,,38.4,highest_value
Bam Adebayo,MIA,12.7,0.6,388,,33.1,highest_value
Matas Buzelis,CHI,6.5,1.4,79,,22.2,highest_value
Kyle Kuzma,MIL,5.9,1.7,1,,21.8,highest_value
Devin Carter,,4.3,3.0,2,,19.6,highest_value
Ousmane Dieng,,3.9,3.0,12,,19.5,highest_value
Ron Harper Jr.,,3.9,3.0,1,,18.1,highest_value
Kam Jones,,3.5,3.0,5,,17.7,highest_value
Aaron Nesmith,,4.4,1.9,12,,17,highest_value
Royce O'Neale,PHX,4.3,2.0,5,,16.2,highest_value
Myles Turner,MIL,4.3,1.6,1,,15.5,highest_value
De'Aaron Fox,SA,5.9,0.6,34,,15.4,highest_value
Derrick White,BOS,5.7,0.7,251,,15.4,highest_value
