player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Brice Sensabaugh,IND,7.9,3.0,11,1,39.3,highest_value
Precious Achiuwa,NYK,4.2,2.9,4,1,20.5,highest_value
Gradey Dick,TOR,4.0,3.0,4,1,20.2,highest_value
Nikola Vucevic,CHI,6.9,0.7,261,1,19.3,highest_value
Yves Missi,NOP,3.3,3.0,3,1,16.7,highest_value
Trey Murphy III,NOP,5.9,0.6,587,1,15.8,highest_value
Kyle Filipowski,UTA,3.4,2.5,6,1,15.3,highest_value
Jordan Miller,MIA,3.0,3.0,5,1,15.0,highest_value
Yanic Konan Niederhauser,SAS,2.9,3.0,4,1,14.7,highest_value
Scottie Barnes,TOR,5.6,0.5,728,1,14.0,highest_value
Donovan Mitchell,CLE,6.1,0.2,1100,1,13.4,highest_value
Khris Middleton,MIL,2.9,2.5,11,1,12.8,highest_value
Egor Demin,OKC,3.1,2.1,31,1,12.7,highest_value
Drake Powell,CHA,2.5,3.0,2,1,12.4,highest_value
