player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Kyle Anderson,MIN,3.4,3.0,1,1,16.8,highest_value
Kawhi Leonard,LAC,6.9,0.2,2800,1,15.2,highest_value
Quentin Grimes,DET,4.5,1.3,45,1,14.9,highest_value
DeMar DeRozan,SAC,4.8,0.9,324,1,14.0,highest_value
Norman Powell,LAC,5.1,0.7,275,1,13.7,highest_value
Day'Ron Sharpe,BKN,2.9,2.6,3,1,13.4,highest_value
Amen Thompson,HOU,4.9,0.7,397,1,13.2,highest_value
Sam Hauser,BOS,2.6,3.0,8,1,13.1,highest_value
VJ Edgecombe,PHI,4.5,0.9,255,1,13.0,highest_value
Marcus Sasser,MEM,2.6,3.0,4,1,12.8,highest_value
Dennis Schroder,BKN,3.8,1.3,68,1,12.4,highest_value
Tyrese Maxey,PHI,6.2,0.0,4600,1,12.4,highest_value
Keon Ellis,SAC,2.4,3.0,5,1,11.9,highest_value
Luka Garza,WAS,2.5,2.8,5,1,11.9,highest_value
