player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Mookie Betts,LAD,4.2,2.5,79,1,19.0,highest_value
Mike Trout,LAA,3.2,,522,1,15.8,highest_value
Kevin Gausman,TOR,6.6,,439,1,13.3,highest_value
Cam Schlittler,NYY,6.1,,495,1,12.1,highest_value
Sandy Alcantara,MIA,5.7,,327,1,11.5,highest_value
Shea Langeliers,OAK,5.4,,6,1,10.8,highest_value
Kyle Tucker,HOU,2.6,2.0,199,1,10.6,highest_value
Andrés Giménez,CLE,5.9,,3,2,10.5,highest_value
Chris Sale,ATL,5.2,,1700,1,10.4,highest_value
Luke Raley,SEA,2.5,1.6,81,1,9.2,highest_value
Giancarlo Stanton,NYY,2.3,1.8,71,1,8.8,highest_value
George Kirby,SEA,4.4,,409,1,8.7,highest_value
Michael King,SD,4.1,,122,1,8.2,highest_value
Randy Arozarena,SEA,1.6,3.0,5,1,7.9,highest_value
