player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Brandin Podziemski,GSW,4.6,1.7,36,1,17.2,highest_value
Deandre Ayton,POR,3.9,1.1,64,1,12.0,highest_value
Jamal Murray,DEN,6.3,0.2,406,1,13.8,highest_value
Jock Landale,HOU,3.0,2.1,11,1,12.2,highest_value
KJ Simpson,DEN,2.5,3.0,10,1,12.7,highest_value
Kenrich Williams,OKC,2.8,3.0,2,2,13.6,highest_value
Kentavious Caldwell-Pope,ORL,2.8,3.0,1,3,12.8,highest_value
Kyle Filipowski,UTA,3.4,2.3,23,1,14.7,highest_value
LeBron James,LAL,5.5,0.9,30,1,15.9,highest_value
Mitchell Robinson,NYK,2.7,2.9,11,1,13.5,highest_value
OG Anunoby,NYK,3.9,1.2,3,1,12.6,highest_value
Ousmane Dieng,OKC,2.9,3.0,1,3,13.5,highest_value
Quinten Post,GSW,3.1,3.0,13,1,15.5,highest_value
Walter Clayton Jr.,GSW,3.5,3.0,16,1,17.3,highest_value
