player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jay Huff,GSW,4.2,2.8,17,1,20.9,highest_value
Klay Thompson,DAL,3.7,3.0,49,1,18.6,highest_value
Gary Payton II,POR,3.6,3.0,2,1,18.1,highest_value
Jaylen Brown,BOS,7.1,0.4,203,1,16.9,highest_value
John Collins,ATL,3.6,2.5,26,1,16.3,highest_value
Kevin Porter Jr.,BOS,3.5,2.6,11,1,15.9,highest_value
Tim Hardaway Jr.,DEN,3.6,2.4,4,1,15.7,highest_value
Spencer Jones,NYK,3.1,3.0,1,1,15.6,highest_value
Danny Wolf,BKN,3.7,3.0,3,5,15.4,highest_value
Dwight Powell,BOS,3.1,3.0,1,1,15.3,highest_value
Tobias Harris,POR,4.2,1.6,7,1,15.3,highest_value
Brandon Williams,NOP,3.7,2.1,22,1,15.1,highest_value
Sam Hauser,BOS,2.9,3.0,2,1,14.7,highest_value
Isaiah Jackson,IND,3.1,2.7,2,1,14.6,highest_value
