player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jrue Holiday,7.9,1.0,31,,23.6,highest_value
Jabari Walker,4.7,3.0,2,,23.5,highest_value
Robert Williams III,3.6,2.4,1,,15.6,highest_value
Jerami Grant,4.6,1.3,58,,15.3,highest_value
Jaylen Wells,3.6,2.1,128,,14.6,highest_value
Chet Holmgren,5.1,0.8,396,,14.3,highest_value
Bennedict Mathurin,4.0,1.4,182,,13.5,highest_value
Isaiah Jackson,2.6,3.0,11,,12.9,highest_value
Ryan Rollins,4.4,0.9,349,,12.7,highest_value
Cam Spencer,3.6,1.4,63,,12.4,highest_value
Jarace Walker,2.8,2.3,193,,12.2,highest_value
Onyeka Okongwu,4.2,0.9,147,,12.1,highest_value
Walter Clayton Jr.,2.4,3.0,50,,11.8,highest_value
