player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Anthony Black,ORL,2.4,1.7,567,1,8.8,highest_value
Bam Adebayo,MIA,3.2,0.7,779,1,8.8,highest_value
Brandon Ingram,TOR,4.8,0.9,1200,1,13.8,highest_value
Collin Murray-Boyles,MIA,1.8,3.0,76,1,8.8,highest_value
Davion Mitchell,ORL,2.6,1.2,243,1,8.4,highest_value
Desmond Bane,MEM,5.9,0.9,711,1,17.1,highest_value
Jakob Poeltl,TOR,2.4,1.5,103,1,8.3,highest_value
Jalen Brunson,NYK,7.2,0.3,8100,1,16.6,highest_value
Jamal Shead,TOR,3.2,2.7,86,1,14.8,highest_value
Josh Hart,NYK,4.8,1.0,991,1,14.5,highest_value
Mikal Bridges,NYK,3.3,0.6,808,1,8.6,highest_value
Mitchell Robinson,NYK,2.0,2.7,165,1,9.4,highest_value
Norman Powell,LAC,3.4,0.6,920,1,8.7,highest_value
Wendell Carter Jr.,ORL,3.6,1.7,234,1,13.3,highest_value
