player_name,team,actual_rs,drafts,total_value,source
Brandin Podziemski,GS,4.6,12,22.6,highest_value
Tari Eason,HOU,4.4,1,22.2,highest_value
Kelly Oubre Jr.,NYK,5,6,19.6,highest_value
Mark Williams,LAC,3.8,1,18.9,highest_value
Collin Gillespie,UTA,4,2,18.7,highest_value
Day'Ron Sharpe,BKN,3.6,1,18.2,highest_value
Royce O'Neale,UTA,4.2,1,17.8,highest_value
Reed Sheppard,LAC,3.5,15,17.3,highest_value
Lauri Markkanen,UTA,7.1,21,17,highest_value
Moses Moody,GS,3.3,3,16.6,highest_value
Anfernee Simons,POR,3.4,16,15.6,highest_value
Josh Minott,MIN,3.1,1,15.4,highest_value
Terance Mann,LAC,3.2,2,15.4,highest_value
Tim Hardaway Jr.,DAL,3.1,1,14.7,highest_value
