player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Isaiah Hartenstein,OKC,7.3,1.2,76,1,23.3,highest_value
Darius Garland,CLE,4.3,3.0,210,1,21.6,highest_value
Desmond Bane,MEM,4.6,1.9,6,1,18.1,highest_value
Harrison Barnes,SAC,4.1,2.3,2,1,17.5,highest_value
Julian Champagnie,TOR,3.7,2.6,2,2,16.5,highest_value
Anthony Edwards,MIN,5.3,0.9,664,1,15.4,highest_value
Pelle Larsson,ORL,3.0,2.8,2,1,14.6,highest_value
Myles Turner,BOS,4.0,1.6,3,1,14.5,highest_value
Anthony Black,ORL,3.2,2.5,2,1,14.5,highest_value
Kon Knueppel,CHA,3.8,1.8,46,1,14.4,highest_value
Noah Clowney,BKN,2.9,3.0,1,1,14.3,highest_value
Jonas Valanciunas,DEN,2.9,3.0,3,1,14.3,highest_value
Matas Buzelis,CHI,3.7,1.8,26,1,14.1,highest_value
Egor Demin,UTA,2.8,3.0,7,1,14.0,highest_value
Giannis Antetokounmpo,MIL,6.9,0.0,3900,1,13.8,highest_value
Tre Mann,CHA,3.0,2.6,16,1,13.7,highest_value
Cedric Coward,SAC,4.1,1.3,47,1,13.6,highest_value
Nikola Jokic,DEN,5.7,0.0,13600,1,11.4,most_popular
Shai Gilgeous-Alexander,OKC,4.3,0.0,11800,1,8.6,most_popular
Victor Wembanyama,SAS,2.9,0.1,8500,2,5.51,most_popular
Josh Giddey,CHI,3.6,0.2,6200,2,7.2,most_popular
Cade Cunningham,DET,5.3,0.4,5300,3,10.6,most_popular
Donovan Mitchell,CLE,4.4,0.1,4300,5,5.72,most_popular
Jaylen Brown,BOS,4.1,0.4,3200,3,8.2,most_popular
Paolo Banchero,ORL,2.8,0.5,2800,3,5.88,most_popular
Russell Westbrook,SAC,3.7,0.8,2800,5,7.4,most_popular
Alperen Sengun,HOU,4.1,0.3,2600,4,6.97,most_popular
Kel'el Ware,MIA,1.9,2.0,2300,3,6.84,most_popular
Scottie Barnes,TOR,3.2,0.4,2100,3,6.4,most_popular
Lauri Markkanen,UTA,1.7,0.3,2000,4,2.89,most_popular
Jonathan Kuminga,GSW,1.4,1.2,1900,5,3.36,most_popular
Derrick White,BOS,3.9,1.0,,1,11.7,winning_drafts
Ja Morant,MEM,4.0,0.8,,1,11.2,winning_drafts
